item_id,datetime,cloud_cover,platform,constellation,instruments,mgrs_tile,preview
S2A_43QGF_20240828_0_L2A,2024-08-28T05:32:33.380000Z,27.736512,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240828_0_L2A.jpg
S2B_43QGF_20240823_0_L2A,2024-08-23T05:32:34.553000Z,91.843122,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240823_0_L2A.jpg
S2A_43QGF_20240818_0_L2A,2024-08-18T05:32:35.131000Z,92.200476,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240818_0_L2A.jpg
S2B_43QGF_20240813_0_L2A,2024-08-13T05:32:39.362000Z,99.908119,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240813_0_L2A.jpg
S2A_43QGF_20240808_0_L2A,2024-08-08T05:32:35.954000Z,100.0,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240808_0_L2A.jpg
S2B_43QGF_20240803_0_L2A,2024-08-03T05:32:36.334000Z,100.0,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240803_0_L2A.jpg
S2A_43QGF_20240729_0_L2A,2024-07-29T05:32:37.784000Z,98.705149,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240729_0_L2A.jpg
S2B_43QGF_20240724_0_L2A,2024-07-24T05:32:38.231000Z,100.0,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240724_0_L2A.jpg
S2A_43QGF_20240719_0_L2A,2024-07-19T05:32:35.762000Z,83.744383,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240719_0_L2A.jpg
S2B_43QGF_20240714_0_L2A,2024-07-14T05:32:37.717000Z,94.224072,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240714_0_L2A.jpg
S2A_43QGF_20240709_0_L2A,2024-07-09T05:32:38.405000Z,46.906835,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240709_0_L2A.jpg
S2B_43QGF_20240704_0_L2A,2024-07-04T05:32:38.761000Z,99.986285,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240704_0_L2A.jpg
S2A_43QGF_20240629_0_L2A,2024-06-29T05:32:38.137000Z,99.607116,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240629_0_L2A.jpg
S2B_43QGF_20240624_0_L2A,2024-06-24T05:32:38.193000Z,62.544012,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240624_0_L2A.jpg
S2A_43QGF_20240619_0_L2A,2024-06-19T05:32:40.502000Z,87.04887,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240619_0_L2A.jpg
S2B_43QGF_20240614_0_L2A,2024-06-14T05:32:38.241000Z,36.622393,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240614_0_L2A.jpg
S2A_43QGF_20240609_0_L2A,2024-06-09T05:32:41.079000Z,6.091851,sentinel-2a,sentinel-2,['msi'],,bhopal_s2\previews\S2A_43QGF_20240609_0_L2A.jpg
S2B_43QGF_20240604_0_L2A,2024-06-04T05:32:37.140000Z,32.40003,sentinel-2b,sentinel-2,['msi'],,bhopal_s2\previews\S2B_43QGF_20240604_0_L2A.jpg
